worker_id,quality
A10LLZZHZVGWRW,0.925
A12O9P1OTMJOPW,0.7
A15XX0WDRG29E7,0.8
A19TL7AJ0FB1JG,0.3
A1AF5TUSLXSQD1,0.667
A1AR5OZLXIF9,0.95
A1AZV2XOQK7RSW,0.633
A1B14CS9DW7008,0.2
A1BW8BW8LB6ZPC,0.85
A1DSBBRZR3LWXP,0.5
A1E235KE3CSO7H,0.7
A1EBVJWBNNPUFU,0.94
A1EWWETFXX1U51,0.6
A1FGKIKJYSL1MI,0.828
A1FLEFIVFT809G,1.0
A1IL81UMEC9OJI,0.9
A1IXH2QLUU5BKZ,1.0
A1KBL9THQ1AGAR,0.933
A1NGXQMOBCXDC3,0.7
A1PC5HFTBIR2QA,0.2
A1PF01FF85HUY4,1.0
A1QR6I7UPY8XQJ,0.9
A1QSN98P7DOIPR,0.8
A1RUURPQJ14A8X,0.849
A1SKAGZXTWZW9D,0.7
A1TPCNI0K1EVYD,0.878
A1X1IRFYQZ40LD,1.0
A1ZGQC0J00M69W,0.872
A20I3A6VWC2T5C,0.619
A249LDVPG27XCE,0.9
A249M2F9FFNIK2,1.0
A24IF41IP6LT55,0.8
A277V4SHQB8JRS,0.9
A27FBMV6E4YO3T,0.5
A2BOXK0KVXGKPU,0.7
A2CLSASUR08Z0O,0.887
A2CMYWI1J292YJ,0.775
A2DC6TG86OSCRK,0.8
A2DK5ME7UK8GYG,0.4
A2GNG7DWHQA6ZZ,1.0
A2HR7ZIX42FEPG,0.934
A2HTN7HCNBQ8V4,0.785
A2I6ZS386UJVJE,0.9
A2KYOM2ZGYDJGT,0.74
A2LFVJ28A2J2PK,0.9
A2M5VW97GIYLHB,0.8
A2NGY0LAM66P0N,0.7
A2O762LZEZN3JC,0.7
A2OW2CIT4H7364,0.875
A2P791EA88YGSV,0.85
A2PJBSDDN22XIX,0.867
A2RCYLKY072XXO,0.75
A2S09R2TB55WBN,0.671
A2TZAXWOB3JMNV,0.8
A2U31V169A20GY,0.4
A2UF2FRGVW4T89,0.848
A2WTNZHRALOHX8,1.0
A2YKW761AK4ZGY,0.8
A2ZHBGPYUOFTZG,0.6
A2ZRF4I5RTKN7G,0.9
A314XJY8V1YL12,0.9
A31A4YKVSOYRVS,0.85
A31CNXHGR49DJR,0.74
A31FD3QCYZ28Q2,0.875
A31YZ8JR422KFR,0.8
A33B85TN97HQ33,0.443
A34488HCARTJ82,0.7
A34QZDSTKZ3JO9,1.0
A34RGSBBFQ6HI1,0.95
A3542PB4Z0NE80,0.873
A37CE37LHUN8M6,0.797
A390TAQDSFEBN9,0.95
A3B2YRXL26RPVH,0.6
A3CR9XJAL7U5JW,0.5
A3D46S3V9SYXTT,0.9
A3GCA0EZKHTJME,0.9
A3GNQDFPZALU92,0.75
A3GQ3N00IBM717,0.767
A3GS6QRW0NDZV9,0.764
A3GUJ6JD25FX7O,0.8
A3H0TLQC53H5MB,0.95
A3HHDPKL3O3O7Y,1.0
A3HII8DX9SINOU,0.8
A3I9XLIHPPWPN1,0.867
A3IR7DFEKLLLO,0.8
A3J2UG22S8BIW4,1.0
A3JT22BLG866CK,0.95
A3KA3A3M7LPMPA,0.864
A3KM6AF7CGASHJ,0.882
A3LKIY5BCZ2RS8,0.9
A3LN9BVLOWLYER,0.877
A3MA1SVP12F3DO,0.72
A3O4WYGKH31OX,0.9
A3P57IUDHUKNCE,0.843
A3RS7UCO7CQ74R,0.871
A3S8TUZ94SKSDC,0.9
A3T6Q7YJQXYZ2Z,0.3
A3VVR8NR3ED04C,0.852
A4W9APAHFWVLO,0.5
A7NZ814Q5MX2R,0.8
A8E99XNOTT390,0.9
A8HSPSD88CUTS,0.7
AA21VG9GOHM54,0.867
AD8FN7L0ZV67G,0.7
AEHONA1BIY9JB,1.0
AF4SO6NQC84U4,0.8
AHGM882UX7S4T,0.94
AI4AO0O0WIJF7,0.6
AIQT0DPRTXYYD,1.0
AJQGWGESKQT4Y,0.88
AMCJQTBCGX9R5,1.0
AMX5R6NLYNA2K,0.8
ANMD34DNHLOLC,0.85
AOBTFLJU2BEPR,0.761
AP37QQ9AABSY9,1.0
AP4903X7HCNBA,0.856
APGX2WZ59OWDN,0.86
AQACH1UKXRRIX,1.0
ARYYSG1HT2UDX,0.896
AUGRDUEDEUXUS,0.8
AVHZJ2HQJG3NB,0.6
AXY0D2AMLKE2A,0.6
AY6HFCSWZJ9WD,0.85
AY9ZVK32I1P1L,0.7
AYJGJAIY0EXW,0.1
AYJGQBBK6KXZ7,0.743
AZBZBTTME3HAI,0.9
